id,ingested_at,gateway_id,device_timestamp,tag_mac,found,rssi
4,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 13:59:58+00,7c:ec:79:47:73:62,t,-41
5,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 13:59:58+00,d4:f5:13:79:e4:5b,t,-75
6,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 13:59:58+00,7c:ec:79:44:e0:5f,f,-127
7,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:02+00,7c:ec:79:47:73:62,t,-41
8,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:02+00,d4:f5:13:79:e4:5b,t,-74
9,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:02+00,7c:ec:79:44:e0:5f,f,-127
10,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:06+00,7c:ec:79:47:73:62,t,-35
11,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:06+00,d4:f5:13:79:e4:5b,t,-76
12,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:06+00,7c:ec:79:44:e0:5f,f,-127
13,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:10+00,7c:ec:79:47:73:62,t,-40
14,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:10+00,d4:f5:13:79:e4:5b,f,-127
15,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:10+00,7c:ec:79:44:e0:5f,f,-127
16,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:14+00,7c:ec:79:47:73:62,t,-40
17,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:14+00,d4:f5:13:79:e4:5b,f,-127
18,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:14+00,7c:ec:79:44:e0:5f,f,-127
19,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:18+00,7c:ec:79:47:73:62,t,-39
20,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:18+00,d4:f5:13:79:e4:5b,f,-127
21,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:18+00,7c:ec:79:44:e0:5f,f,-127
22,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:22+00,7c:ec:79:47:73:62,t,-39
